Slope Angle,HS,Profile Depth,Pit Near Avalanche Location,WL_Depth,WL_Thickness,max_stress,impact_criterion,coupled_criterion,sserr_result,touchdown_distance,ss_max_Sxx_norm,slab_tensile_criterion
25,3050.0,1000.0,crown,210.0,390.0,0.006458929428145674,91.97994135403901,203.19453696786644,1.651344843203995,1254.955803498514,2.038605486359584,0.41509433962264153
37,1100.0,1100.0,flank,640.0,20.0,0.02030607636118665,62.00778602199609,173.03734670242875,2.9332389863422925,1177.3153680167147,1.6864060400639205,0.327639751552795
36,2670.0,1250.0,crown,960.0,10.0,0.08103203177927447,123.2237085262449,331.9038636082922,5.7423478660136205,1969.041679785924,1.68641188884334,0.08565531475748193
37,2420.0,2420.0,flank,620.0,30.0,0.03586101415927825,105.41466395288653,263.9549785477718,3.7998698196513088,1558.9063784504026,1.6975729358634424,0.2724358974358974
30,900.0,700.0,flank,230.0,70.0,0.007167034665784791,113.81768688881331,234.67066511021562,1.7074066629780411,1360.1404825716936,1.989709598653512,0.16379310344827586
29,1250.0,1250.0,,700.0,2.0,0.059589893895304065,145.73942003061964,394.57409317121426,5.049321217079048,2398.1621975535213,1.2782638908083506,0.09659090909090909
35,1050.0,1050.0,crown,310.0,10.0,0.005218053939014765,59.83548078244118,151.78047606554588,1.4897774958336336,1363.3498267935886,2.596226981480105,0.03503184713375796
47,1660.0,1660.0,crown,960.0,50.0,0.08988842236736201,150.3287079034571,369.7105064743941,5.807166365166607,1828.7435865717937,1.388481283030485,0.18652849740932642
49,2110.0,2110.0,crown,550.0,30.0,0.04322119366216856,157.18618498437638,388.0739063988369,4.055748812659074,1739.0414111143425,1.9697351830522252,0.25539568345323743
33,2070.0,2070.0,crown,680.0,40.0,0.05362565209697111,114.31010860462428,301.9209613620692,4.798020905343778,1715.2103420957403,1.8257380361068027,0.26423357664233577
35,1700.0,1700.0,crown,350.0,5.0,0.007120755615047226,47.6666378856979,123.63634814612581,1.7526004894744176,987.0949591381751,1.8138422454449492,0.311614730878187
32,1350.0,1350.0,crown,650.0,10.0,0.03156118428422933,101.5176349236383,233.8441429581098,3.596252851674221,1454.0980583688556,1.4936339401744112,0.41131498470948014
30,2650.0,2650.0,other,500.0,50.0,0.008431190134235107,30.509632263586784,80.12062623470445,1.9691472638497147,891.2451659861732,1.1869419671075028,0.10358565737051793
35,2200.0,1300.0,crown,950.0,50.0,0.03334113691347312,51.93471967668658,147.29748886391803,3.7573315742381905,1121.2061661994194,1.2976351812279325,0.07127882599580712
38,1200.0,1200.0,crown,780.0,220.0,0.06496993117654935,136.2388070177523,341.4235939844217,5.125468962265342,1765.9141020767688,1.9784840243330855,0.23312101910828026
25,1700.0,1700.0,crown,1330.0,60.0,0.18476437744846402,130.23914885758228,371.1882701611106,8.919467240078916,2190.1975120184834,1.4640805616417742,0.2194756554307116
24,1680.0,1680.0,other,1020.0,660.0,0.09675151204917472,121.69981025774534,336.54310974444724,6.462623697140067,2121.069285695732,2.3992898024363734,0.05150631681243926
30,3400.0,3400.0,flank,900.0,100.0,0.1081166915648846,164.69828749013544,406.85895383745446,6.668303266086616,2174.0558559630563,1.7671715599689584,0.24806201550387597
37,1100.0,1100.0,crown,300.0,20.0,0.005448447540858423,42.60103179779474,110.52763566358485,1.5705669444854704,930.3016876130723,1.8947428863832556,0.2152317880794702
15,2350.0,800.0,flank,470.0,100.0,0.017422155412188656,67.70516168328025,176.0753682957905,2.874624446078688,1323.0144179717208,1.853381053673037,0.2733050847457627
34,1210.0,1210.0,other,950.0,100.0,0.06396543753287895,99.62613318259052,268.80436543372025,5.140762297947287,1769.841689142413,3.728317738259313,0.011518324607329843
38,1200.0,1200.0,crown,650.0,270.0,0.019161405318053985,60.460630608626396,158.2853081502521,2.7895540655672666,1131.7119859382778,1.4851314757107135,0.28637059724349156
38,1180.0,1180.0,flank,330.0,230.0,0.005667589307497679,44.788795628514116,115.08285680099704,1.5993439305202037,1021.5607852789914,1.7222330994076809,0.15615615615615616
15,1250.0,1250.0,crown,1015.0,85.0,0.0771464296037407,97.37438836406544,267.814301383825,5.897453101885896,1785.0630330193735,1.4525833985206968,0.26372549019607844
28,750.0,750.0,flank,510.0,240.0,0.017646625345588994,59.13914820191563,154.9693567138185,2.812087618983927,1233.249325539612,1.602315213780704,0.28654970760233917
35,1850.0,1850.0,flank,300.0,20.0,0.026044241454124255,193.57481983806656,434.3014220705013,3.2023458167036445,2038.9419001378758,1.648519366639076,0.19933554817275748
