Slope Angle,HS,Profile Depth,WL_Depth,max_stress,impact_criterion,coupled_criterion,sserr_result,touchdown_distance,ss_max_Sxx_norm,slab_tensile_criterion
34,1220.0,1220.0,370.0,0.003552072663126132,17.807498236507627,49.84732589206179,1.3584888816614247,617.1835984701281,1.3191033554331482,0.1424731182795699
30,1020.0,1020.0,620.0,0.04158867604774451,120.42221706633289,318.5412833177224,4.188351158286984,2054.1974229847833,2.0621549642109276,0.06549520766773163
36,900.0,900.0,170.0,0.000916895577230602,15.849389313660156,42.62890989912005,0.7026392328472462,565.0030624468874,1.6956006513967923,0.23699421965317918
40,1540.0,1540.0,590.0,0.018976901669170404,67.29077237235633,177.33620819987658,2.779220681124037,1234.9760952716342,2.1250919343226147,0.12080536912751678
33,1550.0,1250.0,250.0,0.004664570060371656,48.032539834045124,121.99288927033317,1.446028467191793,991.1496650598364,2.0745457792636777,0.22924901185770752
34,730.0,730.0,730.0,0.24102189097173538,335.5387783386095,759.8913297918884,9.61209698319147,3597.5359589741015,1.3772124495731854,0.3071718538565629
30,2200.0,2200.0,950.0,0.13171944269522012,151.3268858387769,419.41234125115665,7.383979321295543,2362.821005446814,1.6429562256693315,0.26128016789087094
37,450.0,450.0,320.0,0.008381952997770926,71.15370399600016,176.5686988353322,1.841680896755188,1295.734029174193,1.7502388541147949,0.2993827160493827
27,920.0,920.0,250.0,0.008980481004648457,107.8013815464395,256.30637302258754,1.9853938227451167,1395.4856549917754,2.184368724871512,0.08267716535433071
38,800.0,800.0,600.0,0.043117177973597515,177.30131745654876,442.18474152131614,4.346515123663725,1704.3961108338597,2.2990561622974766,0.13884297520661157
42,1900.0,1900.0,870.0,0.0648482693893781,121.37148446849217,305.2445716014661,5.0258706777003335,1665.7835582089785,1.6069760255461543,0.18949771689497716
36,1170.0,1170.0,540.0,0.0195598347003692,69.25216729066656,180.7540350706816,2.860570651439522,1244.2759037876492,1.6739758978444044,0.25321100917431194
35,1700.0,1700.0,160.0,0.000841083867255364,18.988861256061693,49.249745643083045,0.6435130542014034,630.9610664647554,1.6530697388398343,0.30246913580246915
36,900.0,900.0,900.0,0.2036219147296393,227.3722774255455,631.4548436732689,9.018646778440944,2944.877557031227,1.4282168630056262,0.15545755237045203
30,1000.0,1000.0,770.0,0.04748446989094659,93.2220402805832,246.6945089082206,4.517757025976452,1538.0214533614846,1.454839222953396,0.21262886597938144
38,1300.0,1300.0,360.0,0.0048203296597081665,30.106527371230076,79.31840958953279,1.5309599558171942,784.8873273785991,1.670320341809704,0.13259668508287292
36,2720.0,2000.0,600.0,0.02304698161350424,65.24973518567549,175.63545011027523,3.146541511590113,1211.8346004806235,1.6192323638653305,0.20930232558139536
33,2430.0,2430.0,410.0,0.010527488120989532,58.71769210200308,153.91536751532928,2.1519004428110255,1111.787381033206,1.8046229212851654,0.31971153846153844
37,1870.0,1870.0,270.0,0.0021679898652387794,20.176991039472576,54.903416355019246,1.069367725543197,605.8461863348277,1.9349124764215986,0.16117216117216118
38,1450.0,1450.0,190.0,0.0010984355592673811,15.481469700974555,42.61335793094611,0.7751082031673099,545.9831468490826,1.7500043386119628,0.21354166666666666
38,1470.0,1470.0,450.0,0.021245495989457925,109.48346973824115,281.6337019554079,2.9340034219728572,1805.6343501833353,1.916344413871309,0.11428571428571428
38,1130.0,1130.0,1030.0,0.09239531913759591,124.96428804735922,336.89085476985247,6.186328938288021,1716.5813574291262,1.7058095934400619,0.17084942084942084
40,1870.0,1870.0,730.0,0.03429993187338094,69.91950126523074,187.15612723437408,3.8443488356277804,1265.0664877451595,1.6924368930790128,0.17302452316076294
39,940.0,940.0,790.0,0.04758501170742217,81.8815499287971,219.27195590594914,4.457746138137181,1438.8862094624076,1.4688884015923318,0.17987421383647798
