Pit_ID,Slope Angle,HS,Profile Depth,WL_Depth,RBlock_Score,RBlock_Fracture_Character,RBlock_Release_Type,max_stress,impact_criterion,coupled_criterion,sserr_result,touchdown_distance,ss_max_Sxx_norm,slab_tensile_criterion
08f4dfd0-69a0-4877-8c03-4bbed7bb90e1,32,1032.0,1032.0,722.0,RB4,Rough,MB,0.04846241479941849,110.76172036014877,290.47469043136465,4.464603849802167,1849.6266294209981,1.4940903955659428,0.22826086956521738
40232db9-e0e3-40eb-a66e-382ed9661cae,28,1190.0,1190.0,663.0,RB6,Clean,EB,0.03338811602331227,92.914998137459,241.5245498809291,3.7711168300878173,1640.8613321962475,3.5726033338255467,0.13165680473372782
26c73e03-011f-4033-9f5a-65e1329c3dd2,36,1300.0,1300.0,870.0,RB3,,,0.07779482599699818,148.30975700108797,350.56569647535935,5.529193810164048,1964.8250539337341,1.6297355092806936,0.3117178612059158
28d79dcb-7f16-4d33-a43f-a754e13d5472,34,1460.0,1460.0,610.0,RB6,Clean,EB,0.026415776933809504,81.12943243855926,214.02146250122047,3.4384075942954815,1408.5227873182494,3.208068166930015,0.12741935483870967
86b536ae-f8bf-4d6e-a413-76bb746dd21d,28,1030.0,1030.0,80.0,RB4,,MB,0.0004812630042618577,35.073227819423806,75.12101633524756,0.45285284373512275,677.4364031960737,2.3653472054864473,0.4939759036144578
83936f86-961b-47b8-8bea-9144c1e0c194,40,2000.0,2000.0,530.0,RB3,,,0.008662371056244605,26.292851903628595,71.50238787612642,1.9989559136571058,741.195808456543,1.2256323095775692,0.09227871939736347
2e3dc38b-8cfe-42aa-91ee-4426205fbdf1,41,800.0,800.0,460.0,RB6,Rough,EB,0.022681620558735606,122.7908681032138,304.785351475991,2.987078743792522,1727.169898637099,1.6185174148302854,0.16379310344827586
140fae39-475d-406d-9009-2b9ae4fc0873,37,1370.0,1370.0,370.0,RB4,Clean,MB,0.008728384973696095,66.80700028828966,175.87279671120075,1.9353046099049371,1111.2197834677472,1.901584927864141,0.15508021390374332
42771b9a-4068-4ff0-9570-c7c0ae3743d5,35,590.0,590.0,345.0,RB4,Clean,WB,0.012391686624488661,88.98938468114464,217.34553340707077,2.257903784962191,1362.92242426823,2.0413898759422913,0.2585227272727273
82acb5da-3b72-465c-a59b-2d254a8f755f,36,1060.0,1060.0,190.0,RB4,Clean,WB,0.007693292766053598,122.50637096377832,269.671202303285,1.7428200543639263,1446.994983506267,1.972243847309978,0.23958333333333334
24040d94-e979-4379-ae09-25334bf7b083,32,930.0,930.0,280.0,RB3,Clean,WB,0.003452197842583842,31.079640747397157,83.49774888493947,1.2675656629028447,774.9502144936264,1.8786025981404368,0.31095406360424027
a1a801c2-952b-4c8d-9ace-04aecd90173f,33,1250.0,1250.0,300.0,RB5,Clean,EB,0.007094271020357432,61.52738233669683,151.57753245077544,1.7324899799530584,1074.7779198613707,1.7534416991675346,0.4065573770491803
e10517a6-d566-4f53-ada9-cbb50d708ce1,33,1460.0,1460.0,760.0,RB3,Clean,MB,0.038484376555156144,68.81855737247392,184.58417675169676,4.072224881723359,1353.8577271733943,1.4592542266960553,0.19003931847968544
ae64d011-289a-4ce7-983c-021d3ac43d57,35,1650.0,1650.0,260.0,RB6,Rough,MB,0.01093671060546584,109.56846276394158,253.71347719622378,2.1114938726054375,1380.155637854266,2.0236282442956766,0.32575757575757575
ab95a3d4-e1fc-41d4-9128-913d8742949b,30,2000.0,2000.0,590.0,RB3,,,0.008008688005729155,19.76840908970092,54.11260863786668,1.9826107059367934,667.128653327749,1.0636433471364437,0.03709949409780776
d2ac33b3-eb25-42b7-bdfe-a0f7fad40fcc,34,2400.0,1500.0,580.0,RB3,Clean,WB,0.01620183888361488,97.90349204011535,196.32691998971524,2.532547545513266,1411.2429474662636,2.2705080733408463,0.1660958904109589
7eef9e03-2061-47a8-ae12-341cb9b77ebd,36,1890.0,1890.0,1120.0,RB6,Irregular,EB,0.18147586630054344,167.5668359611183,466.62375411247,8.517787485783522,2447.412033654606,1.493708239414037,0.2528837622005324
3bfd9558-bb9b-44b3-8c40-632d50e33c96,35,770.0,770.0,340.0,RB3,Clean,WB,0.010298956257258692,77.6587390609202,189.18997603813352,2.069613671229006,1187.4382041058525,1.842198849543267,0.37752161383285304
e891713a-59c0-4210-9e32-671600ef646a,35,1782.0,1782.0,151.9999999999999,RB3,Irregular,MB,0.001781091162323722,42.61071684872788,105.82665760635484,0.8893688009257477,877.6607932417252,2.9593089697863433,0.11612903225806452
3e15c770-7b39-48cf-b914-8eb8e4e20d28,32,1380.0,1380.0,250.0,RB5,Rough,EB,0.006565856221548264,82.67829072861163,203.40233506472393,1.6699897370200758,1371.8700392906574,2.285078008771044,0.08235294117647059
ee4488fd-5058-4f51-8562-d8b9f312fcce,37,710.0,710.0,710.0,RB6,Rough,EB,0.04988031238511202,113.55423295352252,301.1710834549557,4.633407839667478,1603.0003799602703,2.554250529252382,0.18688981868898186
43dae052-1ab1-4380-ac00-64ef6242b521,38,1700.0,1700.0,100.0,RB5,Clean,EB,0.000304275778190411,11.048680636983528,31.05431172597401,0.42808706789485784,429.51850958174253,1.9823806115934266,0.24752475247524752
8917ab9c-eccc-4f01-80a3-66846694f90c,37,2000.0,2000.0,650.0,RB5,,,0.017727330634370805,39.798649580379674,106.53128159268363,2.806218342589686,957.9101176853122,1.2890131093532304,0.11196319018404909
431cc384-fb4a-4e35-82e5-a79262d16732,32,1302.0,1302.0,421.9999999999999,RB4,Clean,WB,0.016883696266147462,87.54559546175813,221.67210941671283,2.690220268012502,1408.769244215199,4.233539238651467,0.1873536299765808
cde2f50c-7a41-4eb3-a84e-b2753f2412bf,35,2010.0,2010.0,210.0,RB5,Clean,EB,0.005491296129896934,79.74943458348308,193.84550777268,1.514254893901847,1251.8664943746912,2.499670097670705,0.1792452830188679
277d0548-534f-4d95-889c-da779b30d502,28,950.0,950.0,600.0,RB2,Clean,MB,0.012636055250473616,39.220641921832204,108.96283188587529,2.406647563676838,949.293663692632,1.4130615718711055,0.24750830564784054
